Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-17 05:00:00 UTC,19173.0820766242,19189.9089952718,20585.9370588235,19472.9819604243,19117.1357857958,19341.8170340237,19278.6785981308,19099.8664935065,18842.418011825102,
2017-12-17 06:00:00 UTC,19288.4151225146,19309.6936312323,20703.1947454545,19484.6619933737,19243.79885348,19466.4715265866,19352.3651219512,19134.0141965679,18952.330617568252,
2017-12-17 07:00:00 UTC,19513.0286136708,19412.4162624652,20933.2231675127,19654.5242996937,19398.4821989329,19677.9782532504,19508.1394029851,19222.3168226601,19199.70662896365,
2017-12-17 08:00:00 UTC,19475.3713292191,19370.2317011244,20881.5629028436,19679.7455673182,19459.8262197471,19687.5710827465,19489.103,19273.0677638191,19213.4330373671,
2017-12-17 09:00:00 UTC,19467.7819927644,19332.5643720413,20847.7096133334,19646.5406123664,19434.1853139432,19559.0820391706,19454.9272093023,19157.7912772586,19178.87039011475,
2017-12-17 10:00:00 UTC,19641.281755477,19453.5726024681,20936.7265014164,19732.6792150867,19608.960882315,19747.0826565656,19547.6315384615,19385.7189873418,19224.72643997085,
2017-12-17 11:00:00 UTC,19758.1903469499,19511.029166913,20974.1357025921,19787.9056579623,19747.2832674204,19847.2662577962,19636.4865,19414.1720457433,19335.098451593403,
2017-12-17 12:00:00 UTC,19799.2398378919,19572.5573426573,21160.8270651524,19836.8003774441,19821.4609685488,19889.6721238938,19641.2944086022,19580.1691705791,19397.4818092828,
2017-12-17 13:00:00 UTC,19703.6295048547,19531.9845847379,21115.195704825,19819.9169299593,19787.4296673682,19817.2260726311,19581.9623404255,19461.8942791762,19367.64711312795,
2017-12-17 14:00:00 UTC,19548.6755001989,19382.6384301501,21086.1699407115,19737.0316982773,19654.8614509512,19703.9853024502,19491.0633870968,19411.9453567938,19225.83850350675,
2017-12-17 15:00:00 UTC,19352.1798139816,19154.6438423387,20919.2306341108,19563.6240401415,19434.1861442305,19459.0353962938,19286.0257798165,19187.5498223801,19017.873409241052,
