Time,bitcoin.co.id,bitfinex,bitflyer,bitstamp,coinbase,exmo,gemini,hitbtc,kraken,others
2017-12-17 05:00:00 UTC,20.933333333333334,101.76666666666667,101.36666666666666,35.016666666666666,98.11666666666666,20.733333333333334,22.533333333333335,19.933333333333334,26.116666666666667,33.333333333333336
2017-12-17 06:00:00 UTC,20.183333333333334,62.35,96.01666666666667,46.083333333333336,82.18333333333334,26.816666666666666,19.433333333333334,14.216666666666667,19.7,36.21666666666666
2017-12-17 07:00:00 UTC,27.666666666666668,114.6,119.23333333333333,100.26666666666667,116.98333333333333,37.81666666666667,29.483333333333334,14.366666666666667,36.266666666666666,52.24999999999999
2017-12-17 08:00:00 UTC,19.4,82.83333333333333,79.25,68.3,102.55,42.15,18.933333333333334,16.45,44.05,51.21666666666666
2017-12-17 09:00:00 UTC,21.816666666666666,96.65,87.3,85.95,119.51666666666667,32.68333333333333,14.466666666666667,17.166666666666668,43.18333333333333,51.166666666666664
2017-12-17 10:00:00 UTC,25.866666666666667,95.16666666666667,58.13333333333333,101.28333333333333,125.68333333333334,28.433333333333334,16.5,16.883333333333333,39.63333333333333,56.483333333333334
2017-12-17 11:00:00 UTC,23.416666666666668,100.1,63.53333333333333,86.86666666666666,145.18333333333334,33.983333333333334,16.033333333333335,10.65,47.21666666666667,66.58333333333334
2017-12-17 12:00:00 UTC,35.0,78.08333333333333,95.11666666666666,103.86666666666666,160.76666666666668,41.31666666666667,62.15,18.866666666666667,57.75,95.01666666666667
2017-12-17 13:00:00 UTC,26.65,93.86666666666666,71.26666666666667,83.11666666666666,138.03333333333333,30.15,69.3,23.566666666666666,45.53333333333333,76.06666666666666
2017-12-17 14:00:00 UTC,21.883333333333333,111.5,97.06666666666666,89.85,179.65,37.18333333333333,87.06666666666666,21.783333333333335,38.2,72.56666666666666
2017-12-17 15:00:00 UTC,24.116666666666667,139.1,175.35,111.95,231.18333333333334,46.416666666666664,74.65,35.31666666666667,48.61666666666667,83.58333333333331
2017-12-17 16:00:00 UTC,18.516666666666666,195.76666666666668,109.0,87.15,234.3,43.083333333333336,85.41666666666667,29.616666666666667,47.35,84.56666666666666
2017-12-17 17:00:00 UTC,12.216666666666667,115.13333333333334,42.733333333333334,63.983333333333334,129.53333333333333,33.5,38.666666666666664,25.8,41.43333333333333,62.51666666666667
2017-12-17 18:00:00 UTC,9.566666666666666,122.36666666666666,32.11666666666667,77.28333333333333,170.16666666666666,41.36666666666667,21.733333333333334,25.116666666666667,36.31666666666667,72.8
2017-12-17 19:00:00 UTC,9.666666666666666,206.45,42.666666666666664,140.06666666666666,268.93333333333334,68.43333333333334,35.78333333333333,29.933333333333334,72.4,110.91666666666667
2017-12-17 20:00:00 UTC,6.766666666666667,185.11666666666667,53.333333333333336,113.45,180.23333333333332,42.86666666666667,20.433333333333334,28.016666666666666,41.75,80.63333333333333
2017-12-17 21:00:00 UTC,5.366666666666667,102.91666666666667,58.333333333333336,61.733333333333334,107.8,24.516666666666666,11.033333333333333,21.816666666666666,48.13333333333333,53.916666666666664
2017-12-17 22:00:00 UTC,9.7,155.33333333333334,76.73333333333333,85.41666666666667,195.1,34.833333333333336,18.166666666666668,25.916666666666668,39.43333333333333,69.11666666666667
2017-12-17 23:00:00 UTC,15.2,199.93333333333334,146.53333333333333,83.63333333333334,316.1166666666667,28.3,29.133333333333333,24.733333333333334,37.61666666666667,76.21666666666665
2017-12-18 00:00:00 UTC,21.466666666666665,235.85,191.25,107.31666666666666,473.21666666666664,34.68333333333333,53.9,27.3,48.56666666666667,103.2
2017-12-18 01:00:00 UTC,32.65,324.8666666666667,234.05,105.81666666666666,375.1333333333333,54.233333333333334,50.983333333333334,30.516666666666666,70.36666666666666,118.89999999999999
2017-12-18 02:00:00 UTC,17.683333333333334,163.05,153.31666666666666,97.21666666666667,235.33333333333334,27.216666666666665,25.25,15.433333333333334,40.43333333333333,59.68333333333334
2017-12-18 03:00:00 UTC,18.766666666666666,95.06666666666666,91.26666666666667,63.733333333333334,134.35,13.083333333333334,14.133333333333333,15.866666666666667,27.233333333333334,45.43333333333333
2017-12-18 04:00:00 UTC,31.516666666666666,91.7,77.36666666666666,42.916666666666664,111.8,21.516666666666666,13.383333333333333,14.583333333333334,27.233333333333334,39.86666666666667
2017-12-18 05:00:00 UTC,38.11666666666667,64.93333333333334,46.56666666666667,42.28333333333333,99.33333333333333,19.85,8.516666666666667,19.033333333333335,21.55,36.83333333333334
2017-12-18 06:00:00 UTC,34.81666666666667,64.91666666666667,52.13333333333333,48.983333333333334,97.63333333333334,19.916666666666668,8.05,12.333333333333334,28.016666666666666,38.43333333333333
2017-12-18 07:00:00 UTC,19.6,93.53333333333333,65.53333333333333,50.45,109.78333333333333,24.066666666666666,6.866666666666667,15.583333333333334,28.666666666666668,47.8
2017-12-18 08:00:00 UTC,21.9,95.9,71.56666666666666,61.06666666666667,109.66666666666667,16.8,6.2,13.633333333333333,34.18333333333333,50.666666666666664
2017-12-18 09:00:00 UTC,21.4,114.78333333333333,68.68333333333334,58.733333333333334,107.13333333333334,26.95,6.2,18.816666666666666,42.43333333333333,61.10000000000001
2017-12-18 10:00:00 UTC,17.1,109.75,54.583333333333336,64.0,93.15,23.5,7.8,23.4,41.1,65.51666666666667
2017-12-18 11:00:00 UTC,31.066666666666666,129.36666666666667,78.23333333333333,99.3,127.61666666666666,26.466666666666665,13.933333333333334,24.016666666666666,47.65,84.10000000000001
