Time,bit-x,bitfinex,bitflyer,bitstamp,cex.io,coinbase,gemini,hitbtc,kraken,others
2017-12-17 05:00:00 UTC,229.688,1559.80436283,714.747014579989,195.880222490002,40.92847368,673.147958309984,121.2306259291,133.180000000001,176.60113787,236.44133115999983
2017-12-17 06:00:00 UTC,205.6145,824.861331770001,716.151332229992,233.67124114,33.80730815,556.289744129998,68.8239812168999,83.3200000000002,117.46766108,202.46489822
2017-12-17 07:00:00 UTC,233.8324,2397.56859934001,949.801194829987,559.486326129998,82.48654047,771.270217079991,132.8678770613,110.500000000001,293.455946189999,309.6949526400001
2017-12-17 08:00:00 UTC,215.8391,1247.18815869999,543.06054014999,420.223603369995,62.18228382,526.814028979989,63.5023912453001,150.210000000001,265.06050778,222.99715216607
2017-12-17 09:00:00 UTC,173.1382,2073.26721224999,808.350626969997,280.871387120003,55.8819504300001,418.872164800004,115.119929171,139.46,261.419836649999,212.86519502065
2017-12-17 10:00:00 UTC,173.1153,2935.77815558,392.185622449996,326.68997108,50.1502475099999,396.638920770003,46.2666172927,165.24,244.42767733,241.81977858298998
2017-12-17 11:00:00 UTC,193.2662,2071.17831392997,434.406551709998,382.913277230002,63.0287832100001,705.021037849988,90.2074218672998,82.4300000000003,380.89940617,328.6789392447701
2017-12-17 12:00:00 UTC,185.3733,1435.78979661,709.233677229987,548.384828299995,183.29312907,734.979386060005,185.505474172386,121.820000000001,498.17970343,395.8111489342501
2017-12-17 13:00:00 UTC,179.6892,1676.35677476998,420.452226479994,304.784277340003,107.65368669,645.750888569999,230.237253227285,212.659999999999,433.248800130001,305.97511769441996
2017-12-17 14:00:00 UTC,234.4536,1882.45016240998,827.317531839991,647.608313229993,93.8336948899999,759.459463620003,238.358219521093,196.779999999999,266.29695112,283.2646000683302
2017-12-17 15:00:00 UTC,213.7178,1902.58882563999,1815.47077174996,839.975343429992,137.105271,1175.45199097002,308.531642702187,317.619999999995,360.86492704,369.45559459950016
2017-12-17 16:00:00 UTC,212.6208,3995.30683513001,985.32385489999,872.83204199,128.67793861,1469.17859301004,459.559193644482,238.269999999999,329.27746696,322.4855873107
2017-12-17 17:00:00 UTC,217.8767,2083.69960392997,353.428057139999,503.031025609998,53.5527336,652.776717269999,152.3458107445,220.729999999999,313.82444417,244.12664550500008
2017-12-17 18:00:00 UTC,229.3882,1844.09810337998,177.95221972,561.780429899999,95.73923237,943.479968879996,164.6530219829,226.729999999999,237.92939812,300.8743098575
2017-12-17 19:00:00 UTC,197.1751,3175.30789478002,315.766833569999,1273.06864222001,146.57302734,1751.51985189997,416.298567073799,253.699999999998,577.26125122,478.49074598849995
2017-12-17 20:00:00 UTC,252.8331,2912.33517370001,362.844406489997,680.171158600009,103.09325189,1115.58415494,134.5390537344,245.319999999998,426.76511888,324.3079641685
2017-12-17 21:00:00 UTC,250.9864,1164.85787373,364.468085399998,361.773975459999,47.50654981,532.310540260002,159.589286645,176.069999999999,607.192776649999,181.1663297295
2017-12-17 22:00:00 UTC,204.7975,2917.39027335002,579.771297429996,662.0966422,86.2733444900001,1425.10002171,438.8721039219,199.939999999999,332.39048148,249.02135757
2017-12-17 23:00:00 UTC,227.997,4441.69305199006,1479.04861636997,978.422162700001,161.61511245,3170.64168586005,866.643514140801,211.179999999999,404.4837917,317.82608663300016
2017-12-18 00:00:00 UTC,254.3673,7622.73996069032,1588.69273049996,1279.16094292,141.33099741,4497.83995302001,1183.1107676003,207.529999999999,596.28562461,531.7891655130791
2017-12-18 01:00:00 UTC,263.0863,7450.63612751036,2408.36845957003,1465.46918909999,181.21186155,3526.93824751015,1021.4881716499,224.119999999999,702.72376767,667.8196115507902
2017-12-18 02:00:00 UTC,215.313,2669.43992269,1282.83943214998,1426.52150319999,99.4403130500001,2619.69614308999,478.4061725477,138.27,330.77484394,306.49315100228006
2017-12-18 03:00:00 UTC,234.898,1470.84953423998,681.915167929995,494.66908836001,57.75870773,1099.16882837,257.317897663,143.67,235.41251788,264.48556394473
2017-12-18 04:00:00 UTC,243.8226,1712.43897023999,583.201260509995,368.18512318,51.02775881,1138.10367739999,330.3026538648,127.54,141.26337993,205.01936927482006
2017-12-18 05:00:00 UTC,255.6126,977.842070939998,294.391676209999,377.803313960008,36.572952,831.98162468001,224.9499789227,144.570000000001,138.75563647,238.49116466999985
2017-12-18 06:00:00 UTC,228.1662,978.852200489999,457.009815749999,327.538016840002,34.8712662,671.098013270005,217.5324814149,81.8300000000002,296.11064336,207.62786066999993
2017-12-18 07:00:00 UTC,240.8675,1323.00610562999,521.75919789,397.996927590001,69.9254966,589.15815112,96.0803734493001,130.87,247.86379097,244.44515183000013
2017-12-18 08:00:00 UTC,206.2512,1378.90442845999,506.202648189999,616.36203669,48.59541635,435.918286549998,61.9618256083,168.539999999999,245.92915507,232.99221394999995
2017-12-18 09:00:00 UTC,236.7579,2061.71889161998,452.143170499997,478.829796889999,67.1035084999999,406.680505370001,146.9282445483,169.7,311.26566661,305.0906335300001
2017-12-18 10:00:00 UTC,257.408,1163.73870285,480.648095879998,490.36198847,45.8877759700001,302.415115900002,97.4694297243,191.329999999999,309.60799576,382.26108412400004
2017-12-18 11:00:00 UTC,226.4038,2735.22371113,607.297418659993,1067.55926916,61.81468869,669.325691169997,266.3361878305,177.5,407.42617431,462.01507639254
2017-12-18 12:00:00 UTC,252.2186,1714.83501159999,951.806583319989,521.24296257,70.98505834,638.312812249999,163.2350230215,289.849999999997,581.308290549999,427.54632784854005
