Time,bit-x,bitfinex,bitflyer,bitstamp,coinbase,gemini,hitbtc,itbit,kraken,others
2017-12-29 00:00:00 UTC,5382.3597,46215.0410453496,13970.2558769998,16861.26363645,20375.6941839098,6125.2446882732,4290.90999999999,2451.3632,7889.76418741001,7614.336315561962
2017-12-30 00:00:00 UTC,4682.0505,74234.7371013906,18578.1552718197,27434.2655986601,32989.7326828298,8734.65293340508,7097.98999999992,2470.9759,13007.52566753,10137.13186306006
2017-12-31 00:00:00 UTC,5247.9263,43254.41376747,21027.3311521097,14524.87155754,21820.5160616697,8176.3820677937,4844.17,2058.9223,7340.3886407,6794.506915853792
2018-01-01 00:00:00 UTC,5103.331,29564.9295522599,10832.0958090999,9613.06442260001,14597.3983202599,4575.0059500073,4605.11,919.9419,5991.73671755,4586.33330329436
2018-01-02 00:00:00 UTC,5132.5821,55320.7769524405,11070.0731043599,20025.71766379,31290.5878431599,8822.89821413388,5435.55999999998,2329.7135,10144.93121518,10490.01005163608
2018-01-03 00:00:00 UTC,5523.9771,38326.2949961197,9856.09892335993,16434.70230237,21942.8591168698,8551.339008044,4732.96999999999,2308.9732,7760.17834553,8915.89541856372
2018-01-04 00:00:00 UTC,5266.2365,46153.2507508197,13706.5456579399,20409.02196913,23937.7953005797,12450.507253452,5252.81999999999,3783.988,9488.12826805,10163.454934899863
2018-01-05 00:00:00 UTC,5258.028,53869.2599240102,22137.5085685498,22358.32342196,27768.9498604597,11519.6414116933,4917.98,5028.6405,10734.5179618,13188.276221148
2018-01-06 00:00:00 UTC,5471.4117,29456.9557352199,8004.22516288991,11544.4952797,16765.4172805898,5294.4618845082,4105.59000000001,2278.7664,6319.28383125,7663.48474524571
2018-01-07 00:00:00 UTC,5494.4867,30158.95873273,5712.73273005996,10818.63274267,14914.4018608599,5625.0666015701,4244.48,1611.1503,6232.0216783,7025.916123885581
2018-01-08 00:00:00 UTC,4498.4919,64362.4479010307,12223.7919131499,21556.19172061,28701.41344637,12623.8722274805,5490.89999999995,3620.4466,10844.71496685,10724.187833713042
2018-01-09 00:00:00 UTC,5168.2616,43185.8694217999,12555.6069396799,17565.97422227,19073.0417129298,7721.180650499,4861.66999999999,3592.8092,8928.82019406999,8309.923225575849
2018-01-10 00:00:00 UTC,5179.5625,56960.4976838801,14939.4062459998,23757.80309976,28078.6317050797,9009.0986692575,5082.62999999999,3982.1654,11665.17831107,11181.751321969892
2018-01-11 00:00:00 UTC,5260.3794,70493.5962973109,15925.3722870397,25808.56846316,34426.2150068403,10854.3878294542,5535.28999999998,3377.1364,3814.74893336,12781.189539978312
2018-01-12 00:00:00 UTC,5205.0013,37332.86644989,15881.4909074896,17039.50940839,17957.1045954699,8668.8384814695,4622.49,3121.1744,0.009,8562.2944562587
2018-01-13 00:00:00 UTC,5617.7883,28741.0762440399,8915.34357979989,9222.1586722,12658.96572744,4901.7596448535,4466.27,1616.9467,3616.06665662,6035.49512450931
2018-01-14 00:00:00 UTC,4886.6689,35148.2249373599,8501.2378906899,9879.75549558001,13121.79943686,3985.3065267488,4330.58,1788.3013,8325.57129179,6467.878710596791
2018-01-15 00:00:00 UTC,5288.2781,33274.8485349898,7092.20528818993,12541.89712315,13452.33559273,4552.7351465681,5249.62999999999,1919.192,10089.0915866,7343.80832794971
2018-01-16 00:00:00 UTC,5132.3006,130731.392968634,33765.0043092299,50287.9397559,76864.3522805708,20640.7144246572,7453.93999999988,5462.4511,32125.1552708299,24596.667831019746
2018-01-17 00:00:00 UTC,5403.4208,131328.559995574,49670.2102987811,53314.6188601602,81543.3259201105,24459.645615096,8076.21999999985,8443.0297,35615.3891491799,25228.426453975688
2018-01-18 00:00:00 UTC,5525.0576,84354.4632487408,34667.5875540996,28962.30750454,37898.0921580698,16661.98776784,6566.73999999995,4583.21,24175.42741604,15997.611623159091
2018-01-19 00:00:00 UTC,5367.6102,48161.17971549,22258.9942489994,16684.36727652,19202.2037223999,9545.8550685753,6550.21999999996,5367.7966,15420.98611879,9146.53681265325
2018-01-20 00:00:00 UTC,5512.4129,45998.1676803999,21276.6081911595,12605.56655838,22267.8890375199,6862.8170814089,5502.29999999999,3480.8834,14803.35715251,8775.527666634718
2018-01-21 00:00:00 UTC,4421.9736,52780.3147486501,17779.9220960994,14198.3244264,20060.9505378199,5939.2164516424,6307.34999999998,3640.994,16974.43319633,8082.516612357391
2018-01-22 00:00:00 UTC,5224.6185,65416.3715860904,26689.3543457595,22878.65498672,30013.8798347597,11158.6971679974,6192.62999999996,5833.3967,20242.2609617899,11017.68615862634
2018-01-23 00:00:00 UTC,5420.4551,62785.2279873699,21465.4262933996,21749.04661009,26440.0454417098,10779.6950750253,6917.46999999996,5679.0971,19004.91552052,11069.59745933056
2018-01-24 00:00:00 UTC,5481.6833,43612.5164627898,19078.1087099996,14620.6905631,17916.0660959696,8410.1638762136,6578.85999999997,4474.9666,14663.50457354,8161.34308874551
2018-01-25 00:00:00 UTC,5259.4031,34150.6318955498,14183.5780732298,12914.84827579,16306.5781852598,6974.3943627613,6067.64999999998,3435.389,13595.04469947,6876.01870864327
2018-01-26 00:00:00 UTC,5234.2015,56288.7562468005,18407.0453346597,20523.90890568,23301.1057138499,9023.4752263568,6226.88999999996,4054.6329,23160.2059185,8679.7908033807
2018-01-27 00:00:00 UTC,5496.6012,33723.25044218,14769.7408348897,12407.32805619,14540.5073701999,4717.8156138724,5418.14,2095.4195,16767.84309995,5758.72370522688
