Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-02-05 19:53:00 UTC,498.0,157.0,245.0,43.0,576.0,61.0,53.0,51.0,331.0,179.0
2018-02-05 19:54:00 UTC,451.0,173.0,199.0,116.0,567.0,65.0,50.0,75.0,380.0,193.0
2018-02-05 19:55:00 UTC,273.0,123.0,176.0,55.0,495.0,27.0,28.0,60.0,310.0,210.0
2018-02-05 19:56:00 UTC,309.0,196.0,240.0,47.0,708.0,51.0,81.0,46.0,189.0,152.0
2018-02-05 19:57:00 UTC,432.0,202.0,252.0,176.0,1139.0,56.0,83.0,46.0,369.0,165.0
2018-02-05 19:58:00 UTC,388.0,130.0,220.0,69.0,826.0,108.0,246.0,75.0,214.0,149.0
2018-02-05 19:59:00 UTC,561.0,249.0,292.0,195.0,1123.0,22.0,106.0,55.0,408.0,151.0
2018-02-05 20:00:00 UTC,361.0,189.0,208.0,63.0,556.0,27.0,42.0,116.0,349.0,193.0
2018-02-05 20:01:00 UTC,355.0,140.0,149.0,56.0,661.0,4.0,51.0,26.0,282.0,183.0
2018-02-05 20:02:00 UTC,491.0,215.0,257.0,267.0,615.0,22.0,113.0,81.0,388.0,239.0
2018-02-05 20:03:00 UTC,597.0,322.0,323.0,189.0,647.0,83.0,116.0,138.0,484.0,185.0
2018-02-05 20:04:00 UTC,768.0,276.0,351.0,76.0,1372.0,167.0,110.0,223.0,515.0,312.0
2018-02-05 20:05:00 UTC,796.0,317.0,375.0,172.0,1301.0,165.0,58.0,245.0,720.0,274.0
2018-02-05 20:06:00 UTC,699.0,396.0,457.0,193.0,2169.0,192.0,194.0,204.0,792.0,358.0
2018-02-05 20:07:00 UTC,813.0,338.0,405.0,201.0,1407.0,145.0,74.0,162.0,721.0,361.0
2018-02-05 20:08:00 UTC,961.0,364.0,467.0,197.0,1467.0,147.0,106.0,144.0,741.0,336.0
2018-02-05 20:09:00 UTC,596.0,336.0,455.0,160.0,734.0,124.0,48.0,85.0,540.0,280.0
2018-02-05 20:10:00 UTC,732.0,365.0,394.0,100.0,621.0,98.0,30.0,104.0,529.0,184.0
2018-02-05 20:11:00 UTC,447.0,271.0,310.0,36.0,788.0,50.0,76.0,52.0,367.0,146.0
2018-02-05 20:12:00 UTC,424.0,315.0,306.0,47.0,854.0,78.0,99.0,48.0,458.0,116.0
2018-02-05 20:13:00 UTC,448.0,287.0,453.0,46.0,861.0,79.0,45.0,82.0,386.0,165.0
2018-02-05 20:14:00 UTC,514.0,337.0,317.0,46.0,816.0,187.0,98.0,80.0,341.0,116.0
2018-02-05 20:15:00 UTC,530.0,201.0,275.0,170.0,657.0,64.0,68.0,105.0,420.0,176.0
2018-02-05 20:16:00 UTC,572.0,256.0,207.0,110.0,538.0,53.0,46.0,47.0,306.0,130.0
2018-02-05 20:17:00 UTC,359.0,222.0,272.0,47.0,493.0,59.0,34.0,58.0,223.0,146.0
2018-02-05 20:18:00 UTC,344.0,198.0,160.0,35.0,540.0,41.0,29.0,68.0,294.0,122.0
2018-02-05 20:19:00 UTC,246.0,171.0,166.0,31.0,309.0,40.0,16.0,75.0,269.0,81.0
2018-02-05 20:20:00 UTC,364.0,159.0,213.0,46.0,511.0,44.0,59.0,61.0,257.0,120.0
2018-02-05 20:21:00 UTC,345.0,231.0,164.0,40.0,582.0,48.0,53.0,64.0,263.0,122.0
2018-02-05 20:22:00 UTC,307.0,245.0,216.0,56.0,1055.0,56.0,92.0,135.0,422.0,92.0
2018-02-05 20:23:00 UTC,528.0,234.0,212.0,125.0,805.0,100.0,91.0,100.0,305.0,151.0
2018-02-05 20:24:00 UTC,505.0,306.0,226.0,122.0,1000.0,90.0,138.0,64.0,337.0,155.0
2018-02-05 20:25:00 UTC,316.0,167.0,236.0,108.0,672.0,123.0,36.0,58.0,360.0,112.0
2018-02-05 20:26:00 UTC,294.0,188.0,93.0,84.0,405.0,47.0,37.0,9.0,274.0,80.0
2018-02-05 20:27:00 UTC,313.0,244.0,175.0,55.0,400.0,72.0,27.0,75.0,229.0,106.0
2018-02-05 20:28:00 UTC,711.0,298.0,303.0,108.0,1192.0,124.0,110.0,144.0,180.0,171.0
2018-02-05 20:29:00 UTC,606.0,302.0,355.0,155.0,1821.0,118.0,162.0,117.0,291.0,208.0
