Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken
2018-02-13 13:37:00 UTC,,8570.20384615385,8578.32,8761.43333333333,8578.76818181818,8820.0,,8597.75,,8571.825
2018-02-13 13:38:00 UTC,8486.285,8566.096,8582.26518518519,8770.4,8575.88705882353,8825.0,8574.96,8594.478,,8573.34
2018-02-13 13:39:00 UTC,8485.15,8539.52742455284,8563.53666666667,8743.21111111111,8554.07347826087,8820.5,8571.655,8576.39692307693,8560.58,8569.7
2018-02-13 13:40:00 UTC,,8538.4,8540.20933333333,8732.15,8556.13636363636,8829.995,8554.17,8572.653,,8564.00555555556
2018-02-13 13:41:00 UTC,8703.55,8540.92,8550.04947368421,8751.08571428571,8556.13785714286,8834.995,8554.26,8570.05307692308,,8564.21929824562
2018-02-13 13:42:00 UTC,8569.65,8547.49354838709,8557.25285714286,8753.1,8556.14333333333,8828.83,,8576.98375,8560.85,8569.05945945946
2018-02-13 13:43:00 UTC,,8542.80513257375,8554.1825,8745.4,8551.53956521739,8830.0,8557.5875,8570.43904761905,8560.85,8572.04705882353
2018-02-13 13:44:00 UTC,8539.24,8532.89825783571,8541.74888888889,8736.275,8545.73741935483,8833.7475,8552.75,8561.964,8545.88,8564.58333333333
2018-02-13 13:45:00 UTC,8614.12,8526.38084703113,8535.65071428571,8744.9,8552.309,,8550.0,8556.8465,8548.29,8566.72380952381
2018-02-13 13:46:00 UTC,,8554.23095274308,8556.65464285714,8752.576,8561.06433962264,8840.0,8562.01761904762,8564.85833333333,8556.75,8563.76428571429
2018-02-13 13:47:00 UTC,8464.33,8562.68213318343,8570.38666666667,,8574.5037254902,8832.52166666667,8572.59315789474,8581.25153846154,8580.92,8576.69230769231
2018-02-13 13:48:00 UTC,8504.28,8557.01963182898,8571.10266666667,8749.0,8570.39032258065,8828.79,8578.3871875,8575.6975862069,8574.83,8577.8
2018-02-13 13:49:00 UTC,8584.95,8561.45111111112,8574.58,8766.0,8567.84846153846,8833.77745,8584.5052,8578.71777777778,8570.21307692308,8570.7
2018-02-13 13:50:00 UTC,8464.1,8562.83333333333,8574.71,8763.75,8569.994,8832.55495,8575.92166666667,8578.9825,8568.10166666667,8580.14545454545
2018-02-13 13:51:00 UTC,8463.21,8557.059245678,8581.49,8757.95,8569.99857142857,8833.64,8565.4175,8578.81909090909,8570.0,8570.22727272727
2018-02-13 13:52:00 UTC,,8555.80760266711,8582.424,8739.8,8569.9975,8839.9999,8553.61047058823,8575.173125,8568.4,8564.80769230769
2018-02-13 13:53:00 UTC,8392.26,8560.10512820513,8574.675,8753.8,8565.57966666667,8825.78085960769,8558.38,8579.7325,,8564.46363636364
2018-02-13 13:54:00 UTC,8362.63,8560.5962962963,8569.56666666667,8750.85,8564.99333333333,8825.04666666667,8555.025,8582.27909090909,8558.27,8569.6
2018-02-13 13:55:00 UTC,8543.78,8564.10357142857,8577.762,,8564.996,8825.08,8558.99333333333,8583.862,8563.32,8569.53888888889
2018-02-13 13:56:00 UTC,8467.39,8567.58,8582.0,8758.96,8566.33095238095,8825.0725,8565.587,8589.04673469387,8568.902,8569.9275862069
2018-02-13 13:57:00 UTC,8486.23,8576.97190193376,8588.57461538462,8773.85,8575.58929824562,8827.56,8572.174,8597.4741025641,8571.99526315789,8591.62553191489
2018-02-13 13:58:00 UTC,8577.59,8595.26957898281,8608.59678571429,8781.06923076923,8585.79,8840.0,8583.70333333333,8617.60863013699,8588.63916666667,8605.78823529412
2018-02-13 13:59:00 UTC,8572.725,8599.96999999999,8592.15333333333,8790.78571428572,8589.9825,8852.067143,8594.07,8618.8884375,8594.52666666667,8614.19393939394
2018-02-13 14:00:00 UTC,8667.01,8614.06417689444,8605.76090909091,8784.03846153846,8597.59831578947,8840.68166741667,8598.91,8625.96217391304,,8609.036
2018-02-13 14:01:00 UTC,8581.01,8638.36475265012,8634.65,8799.32666666667,8620.82932885906,8858.640014643,8624.77823529412,8648.59666666667,8609.11,8625.01388888889
2018-02-13 14:02:00 UTC,,8645.06363636363,8634.245625,8810.82380952381,8626.92,8857.13792174294,8630.802,8651.38666666667,8630.56,8639.04
2018-02-13 14:03:00 UTC,8495.66,8645.74038461539,8634.764,8803.675,8629.998,8870.495,8632.0,8652.14277777778,8636.46,8644.54444444445
2018-02-13 14:04:00 UTC,,8645.04810126582,8643.28052631579,8811.84666666667,8629.99931034483,8865.13748038222,8650.1075,8648.39947368421,8633.91857142857,8647.57096774194
2018-02-13 14:05:00 UTC,8496.59,8645.00322580645,8639.723125,8797.52142857143,8630.10947368421,8857.915,8632.52882352941,8648.74933333334,,8644.47777777778
2018-02-13 14:06:00 UTC,8595.77,8646.52914181944,8638.79,8798.2375,8630.367,8846.5000005,8649.105,8650.80727272727,8630.0125,8644.475
2018-02-13 14:07:00 UTC,,8647.42903225806,8641.323,8802.45,8630.445,8859.14414342857,8632.97142857143,8651.992,8631.1475,8638.57307692308
2018-02-13 14:08:00 UTC,8416.195,8645.03148148148,8634.24882352941,8810.55,8630.44285714286,8849.95857214286,8629.73,8650.5975,8630.255,8637.17391304348
2018-02-13 14:09:00 UTC,8641.3,8628.00473557981,8615.98631578947,8783.98181818182,8618.56082191781,8868.70000033333,8627.14875,8636.83882352941,8617.415,8631.4
2018-02-13 14:10:00 UTC,,8606.53240297217,8610.255,8776.80714285714,8599.8275,8847.00063192857,8596.58,8616.09314285714,8596.40125,8607.84999999999
