Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-01-15 14:00:00 UTC,14243.1514415406,14279.079770297,15151.8576129032,14193.4650258094,15418.1103370638,14198.9985987261,14209.0002624894,14234.9009615385,14345.1211911358,14137.7514285714
2018-01-15 15:00:00 UTC,14077.8903629164,14095.5926793249,15064.5303414634,14053.5319770029,15245.1405734599,14044.9702558139,14043.4267339772,14069.2831927711,14155.8986895987,13988.4787755102
2018-01-15 16:00:00 UTC,14073.4269609466,14099.8252718387,15085.0631771894,14036.6721442171,15249.3155613611,14042.0292643678,14051.855699523,14053.1640909091,14143.2154125114,13911.0895918367
2018-01-15 17:00:00 UTC,14037.0381769147,14056.0813053798,15081.4407868852,14001.1617940636,15253.655113916,13993.7006067961,14017.1772596586,14054.2611585366,14114.6416806723,13861.3105454545
2018-01-15 18:00:00 UTC,13918.5610038492,13975.0801234568,15012.5086956522,13908.3343153692,15189.5420365527,13896.2404957265,13898.4820689655,13929.6273390558,13988.3103484688,13861.3071186441
2018-01-15 19:00:00 UTC,13833.2039107034,13906.4310660981,14946.182402746,13864.0350760393,15136.1268797184,13838.3063023679,13824.5867073171,13872.5322282609,13913.6161803713,13901.8944303797
2018-01-15 20:00:00 UTC,13825.4681978275,13880.6362459962,14907.5501928375,13845.8517142857,15143.2442329006,13808.2140723982,13825.7886064189,13860.9614354067,13888.4748603352,13855.6770769231
2018-01-15 21:00:00 UTC,13799.8685024473,13849.1137793104,14923.1222769231,13819.8294723295,15071.1380338174,13806.2471975807,13794.9669217239,13810.3953020134,13842.0728559534,13727.8918367347
2018-01-15 22:00:00 UTC,13841.8989808246,13890.2429141104,14961.2701115242,13852.3377558191,15114.7049239577,13849.5796752369,13821.8889990089,13863.9373333333,13879.1946848433,13778.5505660377
2018-01-15 23:00:00 UTC,13594.9482314855,13614.0896372662,14732.7343339254,13618.9134120292,15008.0462569266,13580.940020429,13601.1728723405,13606.5800371747,13633.3804707061,13583.7891489362
2018-01-16 00:00:00 UTC,13305.5330073976,13316.0914496143,14453.3020728291,13328.8976837201,15156.5797160068,13265.3589052751,13293.8582306477,13309.0911242604,13367.5953317901,13387.6595522388
2018-01-16 01:00:00 UTC,13009.73083023,13036.7536568394,14142.953400838,13054.4060362362,15007.2268350442,12954.3558182452,13010.3569382835,13008.1723333333,13180.5738716007,13231.0324347826
2018-01-16 02:00:00 UTC,12948.3348128549,13002.1162040536,14182.7923239437,12996.0533028781,14960.2606381428,12962.866897712,12966.5620125071,12969.3609904153,13079.9621576064,13023.8269565217
2018-01-16 03:00:00 UTC,12959.453338425,12990.7967712811,14207.6942716049,13010.8820494749,14862.0297533155,12949.970515873,12980.4716465622,12972.6403378378,13117.5398831651,13001.6233333333
2018-01-16 04:00:00 UTC,12944.0727968746,12969.2705604534,14241.9074285714,12990.1379825624,14709.3317336754,12942.5672340426,12943.5425512935,12941.7020634921,13054.7070629371,12976.4314285714
2018-01-16 05:00:00 UTC,13001.0074390163,13034.3133499376,14262.335331565,13047.0758633425,14727.2368802796,12995.9118016195,13003.9233775811,13050.1173275862,13127.563932003,12947.9368627451
2018-01-16 06:00:00 UTC,13082.5920430153,13101.7695130814,14341.8156451613,13129.0777086009,14734.5530248344,13088.4946604938,13076.7098502994,13121.0720869565,13223.6152645273,12933.783877551
2018-01-16 07:00:00 UTC,12789.7845422642,12854.3312657064,14004.5635146022,12911.3563519062,14555.3072565293,12712.8276564215,12851.3739637826,12838.4189931741,13087.3240558291,13050.03515625
2018-01-16 08:00:00 UTC,11962.1296537299,12121.1844506727,13186.028582206,12189.710908542,13785.6932994583,12090.5562842893,11998.1295838433,12167.5782968854,12289.7950526315,12237.4828846154
2018-01-16 09:00:00 UTC,11543.8483967976,11782.3437882626,12644.3979441893,11806.4751405872,13519.2753269887,11661.6222655738,11567.9622919803,11832.91,11792.7082534247,11652.6014778325
2018-01-16 10:00:00 UTC,11642.6969060245,11765.8101555831,12580.9166991079,11834.7850960551,13170.8893927284,11770.7318049569,11635.5867375544,11765.1898039216,11819.5570175439,11806.6287058823
2018-01-16 11:00:00 UTC,11874.7260617004,12148.3078286926,12937.5442033679,12170.0950866615,14145.6993898827,12082.2775140056,11878.8041969112,12126.2657236842,12171.0517158818,12013.895942029
2018-01-16 12:00:00 UTC,11800.7716630016,12300.1141124929,13050.2247826087,12265.2929152649,14335.3215256928,12151.0180259741,11784.5804605809,12168.4210067114,12278.2798171847,12149.3520833333
2018-01-16 13:00:00 UTC,11687.1227297264,12006.3104016538,12801.5209768095,11862.2009976486,13948.8438605885,11831.6034084951,11692.892356044,11897.382578362,12068.0363107603,12103.6312658228
2018-01-16 14:00:00 UTC,11660.9613496468,11895.762429745,12752.1827837424,11909.348197026,13652.0961992182,11848.7710988526,11664.4915694849,11791.5032824427,11974.6990143369,12741.67975
2018-01-16 15:00:00 UTC,11804.669443445,12158.389457346,12967.4946666667,12176.8298146353,13764.3042588877,12069.0703617863,11793.3056780092,12070.3186229508,12217.7474712644,11965.5974074074
2018-01-16 16:00:00 UTC,11788.6773089903,12150.2257183099,12994.3792307693,12171.02115127,13681.0578218039,12098.8040827517,11785.9510290238,12068.0943706294,12190.487522604,12009.2675862069
2018-01-16 17:00:00 UTC,11352.7392803302,11655.6566741953,12526.4072354949,11690.0829446534,13400.9126179881,11585.1682198786,11317.4196774194,11611.09046,11710.6836363636,11641.693125
2018-01-16 18:00:00 UTC,11064.3881101442,11354.8946123842,12199.5154449761,11324.2626487586,13071.9602550951,11326.8103287262,11061.7048451387,11301.9693123543,11336.8028416779,11341.041969697
2018-01-16 19:00:00 UTC,11441.8339186374,11713.2667872228,12551.7997965879,11707.6122829442,13275.0703980708,11690.0952745665,11435.9438037699,11702.0327622378,11744.3975128306,12004.273333333349
2018-01-16 20:00:00 UTC,11116.3875509388,11324.0123107355,12112.4431962025,11380.7890104641,12951.7327612675,11272.5887085907,11113.7482441113,11352.5969333333,11425.6052046263,11343.0215789474
2018-01-16 21:00:00 UTC,10600.8946008727,10759.261647006,11480.1628869969,10696.7498656774,12431.0494757698,10720.3068076669,10594.5636007662,10693.1312179487,10810.3339294971,10976.8175490196
2018-01-16 22:00:00 UTC,10454.5172566874,10624.0042207541,10969.8979526893,10591.5594549163,12200.4565980006,10510.9611855026,10444.2954143214,10498.0380701754,10593.3689042448,10372.5032432432
2018-01-16 23:00:00 UTC,11034.2249485478,11203.2606467301,11832.9113524804,11256.4788546218,12761.5457941773,11257.9250445009,11067.6658646779,11269.7026782884,11393.9703429355,11132.8811627907
2018-01-17 00:00:00 UTC,11164.2733611541,11469.2206446303,12076.6516833431,11655.594097219,12925.1389372064,11482.0054212563,11223.911100224,11366.0914842301,11547.7314076246,11533.429047619
2018-01-17 01:00:00 UTC,11090.5557140919,11382.0420028208,11966.4745128205,11407.9663445026,13112.6569251617,11408.0393893502,11084.2283861552,11346.4419488189,11380.0708984375,11308.63825
2018-01-17 02:00:00 UTC,10947.2055332316,11160.3921875001,11856.101964497,11195.4979301205,12960.0300382352,11204.1919641368,10954.6673035066,11196.2018862691,11207.8346117424,11165.1018032787
2018-01-17 03:00:00 UTC,10521.2925169068,10812.9411185374,11327.3853223496,10823.1178699599,12406.4856914828,10876.4513775874,10501.4301774564,10799.1234482759,10795.8865011901,10860.408255814
2018-01-17 04:00:00 UTC,10756.950513056,11009.1375760812,11459.6216371682,10993.682755127,12179.3769846635,11033.6780011862,10721.4180683371,10913.596624738,10985.7779661017,10869.5467391304
2018-01-17 05:00:00 UTC,10829.9531634342,11082.0244310345,11610.7060987654,11082.8971093011,11846.274731962,11099.6404166667,10817.9623053435,11034.7008835341,11069.1820739107,10971.1165277778
2018-01-17 06:00:00 UTC,11094.950422982,11350.7382704262,11967.1372743847,11333.3963321732,12082.0685810569,11379.3534440433,11082.9569830508,11376.678852459,11334.2861729453,11171.297012987
2018-01-17 07:00:00 UTC,10945.1417686271,11263.517524331,11860.5441479821,11232.0803349418,12036.5965654575,11310.4446578731,10946.2609700064,11278.67403125,11261.7250355619,11138.1257142857
2018-01-17 08:00:00 UTC,10620.7457979398,10957.9986429196,11517.8049657199,10989.7000072569,11812.5773615893,11003.0657993311,10635.4359232365,11028.5091784038,11014.0619978285,10995.2425316456
2018-01-17 09:00:00 UTC,10393.1586196882,10654.6171476378,11267.7662896552,10751.2492846034,11734.779739319,10686.704596849,10422.8047652582,10756.0485905045,10676.476284585,10828.714952381
2018-01-17 10:00:00 UTC,10028.5148746209,10287.6779966044,10890.3702216749,10352.5688067203,11092.8440934846,10297.0161132704,10068.7717660143,10353.2280890538,10236.5815843622,10396.2131304348
2018-01-17 11:00:00 UTC,10043.4430118705,10321.9768455035,10904.7708894231,10336.3094118465,10986.0381677058,10292.0904882813,10031.3974554235,10326.9368683274,10342.2721907601,10367.1806603774
2018-01-17 12:00:00 UTC,10188.2398859689,10475.3485279965,10992.6264412137,10467.589726767,11092.8233169641,10439.5688528139,10168.2585219124,10435.0869043478,10455.0627406049,10241.5564220183
2018-01-17 13:00:00 UTC,10060.477819607,10293.1077591974,10875.9967301325,10282.394832989,11103.5597637969,10256.5441950114,10085.2810519878,10282.0554696133,10313.6523744292,10238.2398245614
2018-01-17 14:00:00 UTC,9617.75818363481,9755.20545967254,10342.2100568361,9729.77230693215,10635.4557747548,9724.2399897119,9648.07859151681,9793.71782863849,9765.00479247879,9903.82952380952
2018-01-17 15:00:00 UTC,9520.44607853261,9544.95149598683,10051.0717115947,9413.62804477771,9892.13938220806,9436.40822211025,9576.42024805806,9471.0418222222,9537.55996983193,9605.05737804879
2018-01-17 16:00:00 UTC,9938.3140561565,9960.7459740834,10399.7872014925,9952.33738649373,10499.4853615623,9907.26854576857,10002.1414423077,9936.46313799622,9945.35956138001,9890.16379746836
2018-01-17 17:00:00 UTC,10124.6965275527,10191.6957229478,10718.4207663651,10216.2759639969,10763.7078959665,10188.2394070513,10184.6095323005,10201.2506046931,10173.3601053507,10052.630212766
2018-01-17 18:00:00 UTC,9878.44231555563,9876.57287542862,10478.7124309392,9912.32818851041,10614.2590430082,9900.07639647578,9905.13306603777,9926.62891252954,9888.82241474591,9903.381328125
2018-01-17 19:00:00 UTC,10223.5258497038,10229.9678554669,10724.1825297383,10253.7393222791,11156.3881751913,10237.5384670725,10241.8856455618,10187.0434633027,10197.2595706619,10054.1613414634
2018-01-17 20:00:00 UTC,10721.1959099162,10735.1709515111,11274.0765160445,10746.4963470748,12077.1608337495,10747.5037327189,10819.708997543,10737.8526871401,10782.1396299365,10654.9286764706
2018-01-17 21:00:00 UTC,10971.5509037147,11044.1666984905,11631.4698250461,11071.2997201386,12783.0000857791,11016.3146645022,11011.9302026896,11020.6269592089,11144.6957476966,10942.9818181818
2018-01-17 22:00:00 UTC,11118.1284753235,11314.4272502671,11893.2913568099,11377.3585450237,12779.6543368028,11362.3307304883,11222.8210686396,11333.7648754915,11444.9538986133,11223.731147541
2018-01-17 23:00:00 UTC,10978.8340327622,11078.1484368994,11644.5738969521,11083.9111654985,12743.2673168196,11078.1659914813,10994.9418678879,11088.5621722846,11154.9516440501,10950.4412328767
2018-01-18 00:00:00 UTC,10945.6553932189,11065.9650715922,11666.6373440644,11061.2571892703,12645.6545464152,11043.0134198813,10950.411113253,11038.395194274,11122.6484995159,10892.7978431373
2018-01-18 01:00:00 UTC,11321.4337241125,11424.4430155942,12036.5105310531,11407.4196062536,12743.5235324598,11411.1030050188,11311.9457225156,11398.2867730496,11494.3080333333,11232.6805172414
2018-01-18 02:00:00 UTC,11523.3671338479,11626.47672,12314.7923572003,11654.8918458351,13017.5896262185,11674.6754924416,11516.7901576182,11625.6853378378,11787.1501838756,11352.834625
2018-01-18 03:00:00 UTC,11431.6517957836,11586.6198380346,12283.6340211133,11576.2199260058,12916.8145015705,11578.9577746319,11422.9602985075,11621.2388025478,11709.6266194006,11670.6826666667
2018-01-18 04:00:00 UTC,11167.8104184214,11322.7657928903,12016.8677637948,11332.1477166081,12758.2902349942,11345.1800632911,11175.1677172775,11271.3635343035,11477.1749638206,11304.4848101266
2018-01-18 05:00:00 UTC,10896.8513465791,11055.7746001185,11714.033972999,11034.9121764821,12330.1085183624,11033.0954561404,10890.5813947991,11013.1316206897,11145.6552785924,10990.543943662
