Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-01-15 14:00:00 UTC,122.08333333333333,44.18333333333333,67.11666666666666,15.05,138.53333333333333,38.56666666666667,10.466666666666667,19.683333333333334,80.16666666666667,96.94999999999999
2018-01-15 15:00:00 UTC,87.33333333333333,36.05,52.86666666666667,7.75,101.91666666666667,30.916666666666668,7.166666666666667,18.983333333333334,66.95,82.0
2018-01-15 16:00:00 UTC,90.18333333333334,47.9,45.016666666666666,9.266666666666667,127.56666666666666,21.616666666666667,7.25,20.966666666666665,59.45,74.35000000000001
2018-01-15 17:00:00 UTC,88.15,45.016666666666666,46.05,5.983333333333333,113.53333333333333,19.5,6.866666666666667,18.55,69.95,70.33333333333333
2018-01-15 18:00:00 UTC,83.4,37.516666666666666,44.71666666666667,7.466666666666667,97.93333333333334,18.416666666666668,9.75,14.5,50.1,61.11666666666666
2018-01-15 19:00:00 UTC,96.08333333333333,40.18333333333333,57.483333333333334,8.916666666666666,107.8,22.8,9.15,19.133333333333333,62.71666666666667,63.08333333333333
2018-01-15 20:00:00 UTC,91.8,20.266666666666666,47.416666666666664,7.9,95.66666666666667,18.616666666666667,11.05,19.733333333333334,66.23333333333333,60.233333333333334
2018-01-15 21:00:00 UTC,91.86666666666666,24.983333333333334,38.96666666666667,7.466666666666667,80.4,16.733333333333334,8.266666666666667,18.95,60.61666666666667,58.21666666666666
2018-01-15 22:00:00 UTC,67.18333333333334,29.833333333333332,28.15,5.516666666666667,77.38333333333334,12.7,12.316666666666666,16.816666666666666,68.91666666666667,51.03333333333334
2018-01-15 23:00:00 UTC,131.11666666666667,56.35,65.51666666666667,11.9,135.06666666666666,11.4,16.316666666666666,20.366666666666667,87.48333333333333,74.91666666666667
2018-01-16 00:00:00 UTC,215.8,88.4,103.6,20.016666666666666,247.15,26.183333333333334,29.383333333333333,42.2,106.61666666666666,120.93333333333335
2018-01-16 01:00:00 UTC,280.3,106.73333333333333,123.73333333333333,27.316666666666666,326.05,27.45,47.86666666666667,34.56666666666667,135.38333333333333,107.85
2018-01-16 02:00:00 UTC,177.01666666666668,102.96666666666667,60.46666666666667,13.5,177.96666666666667,16.533333333333335,24.766666666666666,29.316666666666666,81.16666666666667,96.03333333333335
2018-01-16 03:00:00 UTC,146.86666666666667,115.23333333333333,48.43333333333333,15.283333333333333,136.76666666666668,17.516666666666666,21.0,27.633333333333333,61.35,66.0
2018-01-16 04:00:00 UTC,98.28333333333333,76.45,33.75,11.433333333333334,85.7,19.933333333333334,11.75,18.683333333333334,51.5,44.89999999999999
2018-01-16 05:00:00 UTC,85.85,67.33333333333333,35.86666666666667,7.35,80.43333333333334,26.7,8.233333333333333,22.6,55.3,48.3
2018-01-16 06:00:00 UTC,79.76666666666667,42.56666666666667,35.21666666666667,7.283333333333333,90.55,25.266666666666666,5.4,16.7,58.85,47.65
2018-01-16 07:00:00 UTC,178.8,86.11666666666666,84.33333333333333,19.933333333333334,220.65,47.45,30.366666666666667,24.85,123.18333333333334,80.73333333333332
2018-01-16 08:00:00 UTC,495.45,181.56666666666666,303.45,72.78333333333333,811.35,103.31666666666666,73.51666666666667,95.31666666666666,222.15,258.40000000000003
2018-01-16 09:00:00 UTC,368.55,174.15,251.43333333333334,54.43333333333333,585.95,79.18333333333334,50.833333333333336,77.51666666666667,164.56666666666666,205.7833333333333
2018-01-16 10:00:00 UTC,298.1333333333333,107.71666666666667,218.68333333333334,47.333333333333336,509.1,77.31666666666666,30.933333333333334,68.96666666666667,137.35,195.86666666666667
2018-01-16 11:00:00 UTC,240.78333333333333,210.61666666666667,212.53333333333333,29.166666666666668,373.81666666666666,68.16666666666667,23.8,43.166666666666664,153.7,136.05
2018-01-16 12:00:00 UTC,234.18333333333334,210.05,175.96666666666667,35.28333333333333,367.7,62.95,32.083333333333336,40.166666666666664,173.38333333333333,126.15
2018-01-16 13:00:00 UTC,227.23333333333332,172.78333333333333,136.8,26.4,377.0833333333333,45.083333333333336,31.783333333333335,37.916666666666664,118.41666666666667,154.8
2018-01-16 14:00:00 UTC,207.76666666666668,168.45,128.75,24.566666666666666,347.0833333333333,44.46666666666667,37.766666666666666,34.3,105.65,143.14999999999998
2018-01-16 15:00:00 UTC,178.86666666666667,146.35,105.55,20.016666666666666,244.73333333333332,33.266666666666666,29.483333333333334,32.81666666666667,92.15,133.7
2018-01-16 16:00:00 UTC,153.73333333333332,140.4,79.68333333333334,17.866666666666667,231.2,32.733333333333334,33.43333333333333,31.583333333333332,82.71666666666667,112.01666666666665
2018-01-16 17:00:00 UTC,288.03333333333336,155.86666666666667,147.68333333333334,33.916666666666664,296.78333333333336,44.333333333333336,52.15,41.85,117.61666666666666,149.28333333333336
2018-01-16 18:00:00 UTC,341.5,194.1,158.71666666666667,38.833333333333336,416.4166666666667,52.15,44.61666666666667,61.88333333333333,128.4,170.5666666666667
2018-01-16 19:00:00 UTC,238.56666666666666,92.73333333333333,103.7,29.2,337.6666666666667,35.96666666666667,34.6,34.483333333333334,109.65,132.61666666666667
2018-01-16 20:00:00 UTC,254.58333333333334,169.66666666666666,147.76666666666668,34.6,402.23333333333335,34.05,59.36666666666667,38.916666666666664,127.66666666666667,147.98333333333335
2018-01-16 21:00:00 UTC,388.65,214.53333333333333,246.08333333333334,50.81666666666667,815.8,71.76666666666667,75.65,78.31666666666666,178.65,255.78333333333333
2018-01-16 22:00:00 UTC,465.6666666666667,270.95,287.76666666666665,69.23333333333333,1032.7,91.55,93.35,106.6,192.43333333333334,306.1
