Time,bit-x,bitfinex,bitflyer,bitstamp,coinbase,gemini,hitbtc,itbit,kraken,others
2018-02-13 14:12:00 UTC,2.1463,15.82840772,18.5029696,5.21140809,3.27897262,3.42363684,11.06,2.0059,8.70729661,4.11500442
2018-02-13 14:13:00 UTC,4.061,2.3401233,7.18368438,0.37898636,2.23542246,1.58673555,0.34,2.0276,1.54537251,1.60828523
2018-02-13 14:14:00 UTC,6.8024,13.27781679,10.41855943,0.18587182,0.93390593,,12.2,3.2559,5.77424292,1.1618950000000001
2018-02-13 14:15:00 UTC,0.9122,14.52682042,3.71549811,2.64014996,3.46923679,2.0,1.97,0.0036,1.89095846,1.93933033
2018-02-13 14:16:00 UTC,5.4786,10.34112164,4.74823671,5.15043396,4.92831894,5.0,6.2,,8.59429267,3.3939015700000006
2018-02-13 14:17:00 UTC,0.5556,69.62543074,26.49670258,38.34852985,6.04679241,4.2312864711,3.73,2.511,52.7830141900001,10.62957273
2018-02-13 14:18:00 UTC,4.0143,21.62854215,7.82117376,2.63053994,15.36998618,3.58953042,3.87,1.8837,6.06072362,5.054415369999999
2018-02-13 14:19:00 UTC,5.2291,24.04031004,7.47729056,2.37675263,1.85600117,0.11630599,1.93,0.1833,15.02401177,4.424710300000001
2018-02-13 14:20:00 UTC,2.9238,17.02796932,7.52498315,0.68873148,8.58573553,0.46059694,0.89,0.8639,7.6181684,1.74347298
2018-02-13 14:21:00 UTC,0.734,14.33688596,11.86467381,23.26742656,5.09192672,0.04988372,2.69,0.0242,9.61896937,6.281630389999999
2018-02-13 14:22:00 UTC,3.3624,9.38537958,11.8476584,3.61085197,3.53690609,5.03908698,0.82,0.0012,6.97111389,6.9956847799999995
2018-02-13 14:23:00 UTC,4.4942,6.29599135,16.23957407,40.38622461,3.28536957,1.0708590806,2.38,0.0521,7.17693818,5.646837989999999
2018-02-13 14:24:00 UTC,2.7214,6.50332147,4.95131933,2.51353036,8.4560655,0.62493861,1.43,,6.20847673,7.462010670000001
2018-02-13 14:25:00 UTC,3.2491,4.46362198,15.77138957,43.58688205,10.50568723,0.11620912,0.1,0.1247,39.81213382,12.036649570000002
2018-02-13 14:26:00 UTC,5.1108,12.93529732,52.67293065,20.8996219,14.44483651,0.81352125,2.83,4.5013,7.22072938,13.870770239999999
2018-02-13 14:27:00 UTC,6.016,9.9724765,50.18799163,35.20888744,9.10154959999999,1.23449435,0.2,3.5056,7.33374054,10.5546263
2018-02-13 14:28:00 UTC,4.4059,5.13542525,9.69139938,24.357643,11.84469896,0.02323495,9.66,0.0458,55.62428723,6.015395389999999
2018-02-13 14:29:00 UTC,3.2309,6.08926655,3.131,8.85547346,2.43908817,1.0,3.97,0.0061,50.9612117,2.29573445
2018-02-13 14:30:00 UTC,1.3286,23.28144974,15.80700595,22.69382131,21.48308988,0.17063888,1.54,,54.69380103,7.989954759999999
2018-02-13 14:31:00 UTC,4.8487,8.45431555,10.72547581,10.82911096,5.06420018,3.08444867,0.63,1.1523,71.18800043,3.97002509
2018-02-13 14:32:00 UTC,2.2608,13.3099972,38.62475767,5.45501582,2.13545575,8.3062141682,2.82,0.0314,62.6536772,4.96530235
2018-02-13 14:33:00 UTC,8.2818,29.31334219,28.87132766,2.87167932,19.39270366,8.4214233718,9.88,0.0069,8.22935022,7.203396499999999
2018-02-13 14:34:00 UTC,1.2226,11.81792133,16.92992947,22.29170112,2.64447917,1.41642194,1.48,1.2774,12.12596634,7.047147429999999
2018-02-13 14:35:00 UTC,3.8559,6.01341288,8.63296591,1.13937147,3.82775879,1.5,0.73,,13.35757281,3.9781198599999996
2018-02-13 14:36:00 UTC,4.1933,11.50471837,20.41853809,1.34042211,5.63772754,0.149803697,6.7,0.0415,19.25302313,1.1064809599999996
2018-02-13 14:37:00 UTC,3.8155,8.02488805,8.80698705,28.21144083,9.95612317,1.4042538616,0.74,2.4095,2.20834053,6.133951700000001
2018-02-13 14:38:00 UTC,4.426,6.134648,24.41691146,6.73957246,9.32085872,1.0,3.95,,12.99478094,2.29301141
2018-02-13 14:39:00 UTC,1.9107,5.2322454,24.10704971,2.62975737,5.37201021,1.36,3.26,,15.00941869,2.29385448
2018-02-13 14:40:00 UTC,3.0461,26.55258341,16.71400103,15.98379391,5.90848163,1.41015863,7.69,,7.99714461,1.9213963900000004
2018-02-13 14:41:00 UTC,6.7158,9.80684549,9.12133688,1.54319871,2.94178838,2.3463843949,0.75,0.0071,1.86601836,2.8644707100000004
2018-02-13 14:42:00 UTC,4.388,2.3748116,16.8258548,3.31584484,4.2378989,1.1038703524,2.35,,2.83198802,2.00958663
2018-02-13 14:43:00 UTC,2.9582,9.36158873,10.96240955,4.41834472,3.91044633,1.01370777,1.32,0.0023,5.81812802,2.72553663
2018-02-13 14:44:00 UTC,1.113,31.27433556,20.331938,5.90501484,4.57562858,1.0750583116,1.35,0.0009,16.44952249,8.357819759999998
2018-02-13 14:45:00 UTC,3.1377,14.73402155,8.11869234,1.42771673,4.47369538,4.2553928,10.54,,64.33765926,1.08966478
2018-02-13 14:46:00 UTC,5.2929,11.15170812,9.04081092,1.1144055,0.81336542,1.03503272,0.36,,4.63228999,3.28895983
2018-02-13 14:47:00 UTC,2.3427,14.22985255,8.63439108,8.9910324,3.49495023,1.92689037,0.99,0.011,2.2924,4.318845649999999
2018-02-13 14:48:00 UTC,4.1563,21.43859607,55.28310415,9.64834066,30.19377283,11.1443499721,1.57,0.0102,17.0389616,7.133209
2018-02-13 14:49:00 UTC,2.2915,44.33890773,22.57918557,13.80387713,8.07256204,16.38942206,0.82,0.0452,14.60438176,4.3203927
2018-02-13 14:50:00 UTC,2.7121,51.33927843,6.77924079,27.55846514,5.64701846,5.12537023,3.02,,90.05750144,4.7588263799999995
2018-02-13 14:51:00 UTC,3.3932,5.69514718,9.70205723,14.87728279,1.6460168,11.58178609,10.98,,4.82737274,4.739278070000001
2018-02-13 14:52:00 UTC,1.0458,15.69893581,30.69737792,0.90120741,4.57683216,1.06431353,3.34,0.0081,13.43298593,2.8452180499999997
2018-02-13 14:53:00 UTC,4.1307,51.66929133,10.10253133,8.10397843,7.02795599,1.1546718379,3.22,0.0415,13.53836484,2.98366254
2018-02-13 14:54:00 UTC,4.2324,31.07624839,22.83886548,6.91564732,4.58897157,0.6989552895,1.23,0.0368,8.04413143,5.06550567
2018-02-13 14:55:00 UTC,6.0097,23.47368712,4.45078977,3.83804529,3.6126885,1.1873835449,21.56,0.1351,8.43319512,7.216985169999999
2018-02-13 14:56:00 UTC,3.2934,18.77566738,0.95999962,2.12113458,1.07094555,0.1328209021,0.55,0.0111,3.395765,1.41375172
2018-02-13 14:57:00 UTC,2.8203,4.74202386,24.46126665,2.33180888,3.45343061,1.68571668,6.84,0.0101,8.70423451,5.84542471
2018-02-13 14:58:00 UTC,4.0909,50.63249599,35.50739217,3.86552661,8.66060407,5.94994364,0.7,1.1734,3.97958065,18.66442887
2018-02-13 14:59:00 UTC,4.3121,52.7574796,29.01076841,1.96269445,9.67214775999999,12.38972139,1.31,1.9372,14.46380855,8.27143494
2018-02-13 15:00:00 UTC,3.7405,38.04945552,32.03684582,11.06938239,10.2141056,0.33850769,0.83,2.2366,6.81151309,6.163984099999999
2018-02-13 15:01:00 UTC,7.9386,61.78164708,12.14280567,4.85492432,35.48601175,3.95347409,4.9,3.5031,9.61217623,6.284888789999999
2018-02-13 15:02:00 UTC,4.048,37.63938321,9.61183135,1.74458218,6.09268803,3.05689154,7.43,3.9552,62.6129551200001,6.757141560000001
2018-02-13 15:03:00 UTC,1.6375,30.03028445,23.33140629,2.86765092,9.10794564,8.406106614,0.41,1.2963,26.6235109,14.267149920000008
