Time,bit-x,bitfinex,bitflyer,bitstamp,coinbase,gemini,hitbtc,itbit,kraken,others
2018-01-15 14:00:00 UTC,211.3233,1780.33607695997,290.044244819997,838.900874950003,1037.04197256,215.750353825,193.009999999999,255.4185,645.133864260001,466.46279237
2018-01-15 15:00:00 UTC,227.5606,1113.88185770999,218.808881739999,775.414871709999,662.010992899999,209.0755304294,126.170000000001,77.9515,530.19515121,410.257535981
2018-01-15 16:00:00 UTC,223.3944,1288.91973574999,160.861400660003,705.234188510004,857.486669930002,169.5275826004,243.56,61.871,418.047731960001,435.46838498999995
2018-01-15 17:00:00 UTC,224.0541,1015.92768036,132.415791960002,482.29064003,801.105753589997,119.3431892995,149.91,56.8624,509.58868909,338.0700394431
2018-01-15 18:00:00 UTC,221.0746,912.095355319996,133.466783880001,428.28823247,601.014207009998,154.1362518951,181.68,118.2458,335.81586939,373.7832258908
2018-01-15 19:00:00 UTC,212.6947,1368.91769165999,130.405550480003,499.131982440001,516.28945407,254.4187848019,208.709999999999,64.4007,437.03139644,237.05391359351992
2018-01-15 20:00:00 UTC,194.121,1032.73013684,115.32704389,513.67893941,482.174691409999,286.0704630254,229.99,55.6525,522.133439880001,304.4094730687898
2018-01-15 21:00:00 UTC,196.735,1080.01333079,148.02491933,461.858802820001,464.776688850001,242.9420224079,253.179999999999,48.9684,376.733670529999,241.5812264
2018-01-15 22:00:00 UTC,204.5175,678.274208010001,176.863417029999,287.75259757,388.49348028,251.8044875608,149.94,61.659,445.812637470001,242.029083106
2018-01-15 23:00:00 UTC,183.4167,3034.30477183999,427.292691569997,1300.49514009999,1100.61693802999,219.8050905762,296.479999999998,162.7514,621.224425840001,392.5133775311202
2018-01-16 00:00:00 UTC,154.5986,4434.79619246001,551.19748999999,1242.64606696,2739.17618134999,667.072789565599,406.199999999997,190.6412,940.659329309998,574.4740562686
2018-01-16 01:00:00 UTC,125.6847,6255.88952482022,1447.44413069999,1889.49857120999,3957.86265596016,814.412966228497,328.359999999997,299.0081,1374.73922481999,652.93451945752
2018-01-16 02:00:00 UTC,158.7548,4082.28231938998,871.52951041998,1080.52139221,2210.94042383997,523.8062207111,245.43,212.5196,542.459263030002,413.1230425785999
2018-01-16 03:00:00 UTC,178.9834,2525.99719958998,993.967232229983,766.398776179999,1455.466291,445.2128381149,218.3,88.7988,397.57749599,340.10804212999994
2018-01-16 04:00:00 UTC,179.6435,1726.80754334999,455.912511169986,478.18815315,841.205789739996,246.5030145561,139.470000000001,35.8616,312.9532978,241.1760294999999
2018-01-16 05:00:00 UTC,156.6884,1214.03275679999,527.445515189991,467.440635639999,616.340774869992,200.5847886765,146.96,127.6008,296.91073202,215.60121614000002
2018-01-16 06:00:00 UTC,189.2833,927.694241249998,274.105196819998,387.87256461,500.727640219999,145.2596873269,128.270000000001,86.5362,356.05626098,288.7032542091
2018-01-16 07:00:00 UTC,166.849,5030.11226963011,687.393477409989,1391.86717849,1409.510763,554.776701446599,206.44,294.2043,1044.82961632999,554.2219685365601
2018-01-16 08:00:00 UTC,239.0923,13725.8476029008,1855.71233058993,4833.84027519,6585.62123898031,1660.8016206371,643.919999999976,752.710099999999,2515.85646502998,2087.63723334108
2018-01-16 09:00:00 UTC,361.9001,8743.06235269041,1777.44700843992,3522.43188759998,3579.21952348996,1240.2456087679,443.169999999988,130.5155,2144.12040072999,1632.3601250990291
2018-01-16 10:00:00 UTC,248.3911,7358.45173732016,1227.04044857997,3231.68176736999,2623.8563875799,815.186222440701,357.029999999992,37.218,1729.15902280999,1619.1263567763767
2018-01-16 11:00:00 UTC,217.7865,4357.65733414997,1911.79631663994,2563.83020513,2291.72779873995,608.434517357399,235.799999999999,59.2316000000001,1799.14653068998,1117.9203517087603
2018-01-16 12:00:00 UTC,204.3453,4221.23059108001,2003.35893582994,1992.75323321999,2029.37606320996,728.1938147736,290.089999999997,55.5177,1907.05036140998,1087.5495067405009
2018-01-16 13:00:00 UTC,202.7087,4460.02902011,1607.01053167995,1870.90794974,2894.30055994998,797.531713367299,222.68,518.429800000001,1148.88174885,938.7613954570005
2018-01-16 14:00:00 UTC,200.0018,4123.25186121006,1428.77396816997,1809.76616991,2567.12975564998,703.827229036201,232.37,184.248999999999,976.738201149999,897.1342761400005
2018-01-16 15:00:00 UTC,256.3638,3920.26380091001,1260.35247012997,1640.91501543001,1993.59156802999,453.082465942999,215.049999999999,107.9491,993.631112840001,781.5054287200003
2018-01-16 16:00:00 UTC,269.3826,3057.03084743002,1086.66982052998,1320.91159641,1583.37801006998,653.842075269901,231.609999999999,87.1758000000001,668.281073020001,605.4016728500802
2018-01-16 17:00:00 UTC,209.4198,7259.68516421022,1352.32658618998,2504.25502859,2548.87123382996,1387.0593063485,309.079999999997,127.1335,1154.64196298,1165.4072568963988
2018-01-16 18:00:00 UTC,183.7244,7773.17513964043,1673.79504501998,2779.75073844999,4484.94549296003,1288.857229749,374.369999999993,356.5531,1401.08205421,1310.8531332459997
2018-01-16 19:00:00 UTC,233.4025,4942.12292873013,878.626861529987,1391.32732842,2962.09081431998,734.240254539902,272.76,210.6972,1096.63780531,1008.3884596350007
2018-01-16 20:00:00 UTC,219.4275,5065.89773415004,1484.91830512998,2226.08822946,4031.29341368003,1106.951927476,229.589999999999,233.199,1292.27023679,1099.6467903930002
2018-01-16 21:00:00 UTC,231.1703,8661.91618793045,2359.04414484007,4058.78370098,8696.63127230023,1652.7355681752,524.549999999983,443.225200000001,2194.16819799999,2039.4866424994184
