Time,bitfinex,bitstamp,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,others
2018-02-05 18:53:00 UTC,7031.13123241426,6902.18149253731,,7131.975,6897.34360902256,7895.56053139918,6906.37366666667,7162.94296296296,6904.266,6835.922500000001
2018-02-05 18:54:00 UTC,7033.14816891567,6908.04934210527,,7138.3225,6896.13,7893.4884615,6909.50428571428,7179.62702127659,6918.25571428571,6957.80314393939
2018-02-05 18:55:00 UTC,7025.40102708684,6921.48794117647,,7139.35,6909.71976,7868.90721176238,6916.753125,7194.18214285714,6921.24,6869.47390625
2018-02-05 18:56:00 UTC,7028.59298289432,6934.66245283019,,7156.7064516129,6926.13380952381,7869.34375,6927.78133333333,7193.57615384615,6925.54111111111,6901.48431372549
2018-02-05 18:57:00 UTC,7027.68619732786,6937.83189655172,,7159.81333333333,6916.04394957983,7873.42250000105,6926.326,7190.87627906977,6915.69,6914.81628787879
2018-02-05 18:58:00 UTC,7005.46913210641,6899.19471698113,,7120.11851851851,6876.26691588785,7855.21309207431,6889.782,7173.30114285714,6891.05,6827.9482352941195
2018-02-05 18:59:00 UTC,6984.96565698647,6884.74428571429,,7102.436,6854.77947368421,7846.67966837222,6863.08793103448,7140.48385542169,6876.43090909091,6818.368985507245
2018-02-05 19:00:00 UTC,7021.21612057924,6906.67461538461,,7121.39736842106,6893.67797413793,7855.98828191333,6862.08755319149,7153.51630136986,6896.875,6903.865544871795
2018-02-05 19:01:00 UTC,7021.96276298162,6916.47103448276,,7146.35,6898.31841772152,7853.33645095074,6888.67222222222,7163.41684210526,6898.79888888889,6949.551944444445
2018-02-05 19:02:00 UTC,7006.29314285714,6897.74907894737,,7129.07272727273,6873.42038461538,7838.881540915,6874.90315789474,7149.87055555555,6888.6794117647,6874.66341463414
2018-02-05 19:03:00 UTC,6998.60972523787,6893.14766666666,,7119.49074074074,6873.02394736842,7836.33055032571,6878.65919354838,7155.17173913044,6895.36777777778,6841.790241935485
2018-02-05 19:04:00 UTC,6963.515596398,6864.89175824176,,7090.75272727273,6845.46285714285,7817.4581304355,6851.90545454545,7149.16709677419,6868.87314285714,6910.2
2018-02-05 19:05:00 UTC,6990.5774426827,6880.14176923077,,7099.23703703704,6868.12480519481,7822.78388733609,6864.45014925373,7163.12025,6892.20357142857,6823.5843181818145
2018-02-05 19:06:00 UTC,6972.7803333579,6867.94058139535,,7080.41,6850.248,7822.31928572143,6823.79214285714,7154.23066666667,6869.12975609757,6849.38089887641
2018-02-05 19:07:00 UTC,6970.09398851205,6859.7987654321,,7069.70769230769,6843.74611650485,7830.71357143571,6836.62476190476,7142.60142857143,6871.71444444444,6877.78297297297
2018-02-05 19:08:00 UTC,6980.8001018244,6864.50119565218,,7068.54615384615,6844.36791366907,7830.59944444444,6841.33833333333,7147.365,6876.19195652174,6807.837661290319
2018-02-05 19:09:00 UTC,7006.95696880759,6900.63076923077,,7096.84245283018,6866.36549450548,7827.857000001,6868.18641975309,7161.8672972973,6907.06432835821,6861.49850746269
2018-02-05 19:10:00 UTC,7014.65569687104,6920.06952,,7138.25555555556,6908.0821969697,7832.73185185185,6888.5912987013,7166.50491525424,6933.44090909091,6846.8878378378395
2018-02-05 19:11:00 UTC,7037.00618809716,6965.29903703704,,7176.29777777778,6948.99929032258,7855.22965021062,6924.90916666666,7181.532,6974.62657534246,6933.81098765432
2018-02-05 19:12:00 UTC,7036.33345933808,6948.58184615385,,7147.52388059701,6930.76663366337,7868.32595706412,6902.47733333334,7178.26612903226,6969.14627906977,6752.0156024096395
2018-02-05 19:13:00 UTC,6998.1293834151,6906.10849557522,,7084.0075,6879.13016483517,7855.18153845923,6884.80727272727,7153.75352941176,6927.00230769231,6875.31461538461
2018-02-05 19:14:00 UTC,6986.74799756608,6902.93866666666,,7099.36666666667,6881.503046875,7853.45221307125,6875.05541666667,7147.54285714286,6926.13871794872,6838.732272727269
2018-02-05 19:15:00 UTC,6999.68815581393,6910.06633663366,,7095.21052631579,6887.98890756302,7833.7671082224,6885.98204545454,7145.53730769231,6933.69978723404,6831.63318181818
2018-02-05 19:16:00 UTC,7015.3282129432,6926.33745614035,,7105.41176470589,6907.29355555556,7842.7525,6912.94796875,7155.78230769231,6956.17210526316,6855.81828467153
2018-02-05 19:17:00 UTC,6976.7940314933,6893.28298387096,,7091.4052631579,6870.83444444444,7837.16583333333,6876.515,7143.3525,6916.31545454546,6842.475
2018-02-05 19:18:00 UTC,6997.1778113594,6918.54890243902,,7103.83333333333,6900.94843373494,7832.716,6898.384,7150.30684210526,6939.58177777778,6822.44081081081
2018-02-05 19:19:00 UTC,6998.24519199888,6903.63565656565,,7110.36875,6877.9250887574,7831.34,6880.4416,7149.36133333333,6922.58933333333,6776.355625
2018-02-05 19:20:00 UTC,6973.52442128178,6898.57418181818,,7079.818,6865.89452054795,7822.01111111222,6871.030625,7148.635,6915.56607142857,6842.417413793105
2018-02-05 19:21:00 UTC,6949.57727074344,6868.03959016393,,7061.16956521739,6852.52606557378,7827.71,6849.70641791045,7146.3355,6905.58242424242,6820.472647058825
2018-02-05 19:22:00 UTC,6908.12509971981,6835.67,,7008.51818181818,6815.34780058651,7804.79901774554,6798.69186170213,7128.91470588235,6870.0787804878,6810.63
2018-02-05 19:23:00 UTC,6876.48612653171,6793.7032421875,,6963.88571428571,6783.0124904943,7792.77949232509,6758.72071428572,7109.056875,6823.38414285714,6769.583961352655
